,player,character,utterance,timestamp
0,103,AAAPaul,Where am I?.,67.39
1,103,AAAPaul,I'll have to thank your parents for helping me then.  Where are they?,95.39
2,103,AAAMrsWalker,I'm feeling fine,193.81
3,103,AAAMrsWalker,Is there something I can do to help you?,217.61
4,103,AAAMrWalker,Thank you for helping me. But I'm confused,563.82
5,103,AAAMrWalker,Nice to meet you and thank you for your help. What bikers are you talking about?,578.42
6,103,AAAMrWalker,Is there anything that I can do to help you? I want to repay you for saving me.,596.82
7,103,AAAMrWalker,Thanks for the tip. I'll keep that in mind.,602.82
8,103,Johnson,I always have a minute to talk.,672.44
9,103,Johnson,Why is that such big a problem?,687.23
10,103,Johnson,Why not just wait for them to move on?,702.04
11,103,Johnson,So you want me to get all the bikers out of your town?,720.26
12,103,1ADavidJohnson,Is there a way the townspeople can help fight off the bikers?,734.43
13,103,1ADavidJohnson,What would you need me to do?,752.43
14,103,1ADavidJohnson,Where can I find what you need?,766.83
15,103,MyNPC,I'd like to buy something.,1025.66
16,103,MyNPC,I'd like to buy something.,1033.48
17,103,CrafterNPC,Tell me how to use the workbench.,1069.69
18,103,CrafterNPC,What kinds of things can I craft?,1084.28
19,103,CrafterNPC,Tell me about the sniper rifle.,1096.49
20,103,aaamutant1,Wait,1306.28
21,103,aaamutant1,I'm not from the town. Who is Cornelius?,1314.92
22,103,aaamutant1,That's terrible! Is there any way I can help?,1331.69
23,103,AAARichard,There are some mutants in the abandoned house who say you poisoned one of them.,1405.35
24,103,AAARichard,Yes,1487.42
25,103,aaamutant1,I have it. Here you go.,1538.86
26,103,aaamutant1,I have it. Here you go.,1713.70
27,103,CrafterNPC,Tell me about the shishkebab.,1789.36
28,103,CrafterNPC,Tell me about the sniper rifle.,1801.77
29,103,CrafterNPC,Do you have a job for me?,1814.36
30,103,CrafterNPC,Not interested.,1818.56
31,103,MyNPC,I'd like to buy something.,1834.42
32,103,Eric,Can you tell me anything about the town?,1873.84
33,103,Eric,So what happened here?,1886.25
34,103,Eric,Who are you talking to?,1900.05
35,103,1ADavidJohnson,Where can I find the guns again?,1945.06
36,103,CrafterNPC,Do you have a job for me?,1977.47
37,103,CrafterNPC,I'll do it.,1990.67
38,103,AAAMrWalker,I'll just be on my way now,2138.24
39,103,AAAMrsWalker,Tell me about Old Fitz's cave.,2367.60
40,103,AAAMrsWalker,Tell me about the silver mine.,2388.40
41,103,CrafterNPC,Tell me how to use the workbench.,2555.57
42,103,CrafterNPC,What kinds of things can I craft?,2570.76
43,103,CrafterNPC,Tell me about the metal armor.,2581.36
44,103,CrafterNPC,Tell me about the shishkebab.,2584.36
45,103,Andrew,Is there any particular reason the bikers are here?,2650.76
46,103,Andrew,What do you think would work for bribing the bikers to leave?,2660.15
47,103,AAAPaul,Where am I?.,67.39
48,103,AAAPaul,I'll have to thank your parents for helping me then.  Where are they?,95.39
49,103,AAAMrsWalker,I'm feeling fine,193.81
50,103,AAAMrsWalker,Is there something I can do to help you?,217.61
