,location,player,object,pos_x,pos_y,pos_z
0,Introhouse,103,Pre-War Book,145.8,235.087,273.802
1,Introhouse,103,Pot,322.0,2078.533,302.764
2,Bar,103,Sunset Sarsaparilla,1445.2,1776.811,611.707
3,Bar,103,Sunset Sarsaparilla,1446.4,1776.938,611.817
4,Bar,103,Sunset Sarsaparilla,1447.2,1777.278,612.384
5,Bar,103,Sunset Sarsaparilla,1450.8,1832.388,731.093
6,Bar,103,Sunset Sarsaparilla,1453.4,1903.365,784.445
7,Bar,103,Sunset Sarsaparilla,1456.2,1892.970,639.313
8,Bar,103,Sunset Sarsaparilla,1458.2,1875.246,546.979
9,Bar,103,Sunset Sarsaparilla,1460.8,1897.747,458.912
10,Bar,103,Sunset Sarsaparilla,1463.8,2009.338,517.811
11,Bar,103,Sunset Sarsaparilla,1464.8,2009.568,518.196
12,Introhouse,103,Pre-War Book,145.8,235.087,273.802
13,Introhouse,103,Pot,322.0,2078.533,302.764
14,Bar,103,Sunset Sarsaparilla,1445.2,1776.811,611.707
15,Bar,103,Sunset Sarsaparilla,1446.4,1776.938,611.817
16,Bar,103,Sunset Sarsaparilla,1447.2,1777.278,612.384
17,Bar,103,Sunset Sarsaparilla,1450.8,1832.388,731.093
18,Bar,103,Sunset Sarsaparilla,1453.4,1903.365,784.445
19,Bar,103,Sunset Sarsaparilla,1456.2,1892.970,639.313
20,Bar,103,Sunset Sarsaparilla,1458.2,1875.246,546.979
21,Bar,103,Sunset Sarsaparilla,1460.8,1897.747,458.912
22,Bar,103,Sunset Sarsaparilla,1463.8,2009.338,517.811
23,Bar,103,Sunset Sarsaparilla,1464.8,2009.568,518.196
24,Bar,105,Shot glass,1492.1,1237.066,702.844
25,Bar,105,Empty Whiskey Bottle,1493.1,1237.066,702.844
26,Bar,105,Ashtray,1494.1,1237.066,702.844
27,Bar,105,Dinner Plate,1495.3,1237.066,702.844
28,Bar,105,Empty Sunset Sarsaparilla Bottle,1510.9,1389.067,909.596
29,Bar,105,Sunset Sarsaparilla,1520.7,1860.892,912.133
30,Bar,105,Sunset Sarsaparilla,1522.6,1860.892,912.133
31,Bar,105,Sunset Sarsaparilla,1527.5,1840.860,774.776
32,Bar,105,Sunset Sarsaparilla,1530.5,1842.306,776.783
33,Bar,105,Sunset Sarsaparilla,1535.7,1750.781,536.424
34,Bar,105,Sunset Sarsaparilla,1537.4,1750.781,536.424
35,Bar,105,Sunset Sarsaparilla,1538.9,1750.781,536.424
36,Bar,105,Sunset Sarsaparilla,1545.5,1853.930,402.837
37,Bar,105,Sunset Sarsaparilla,1550.1,2062.792,577.578
38,Bar,105,Sunset Sarsaparilla,1551.3,2062.792,577.578
39,Bar,106,Empty Whiskey Bottle,362.8,1358.582,750.914
40,Bar,106,Chessboard,364.2,1380.320,814.186
41,Bar,106,Empty Sunset Sarsaparilla Bottle,365.2,1380.283,814.275
42,Bar,106,Ashtray,366.6,1380.283,814.275
43,Bar,106,Drinking Glass,377.2,1773.473,383.116
44,Bar,106,Sunset Sarsaparilla,377.8,1764.275,397.542
45,Bar,106,Glass Pitcher,378.8,1766.806,432.603
46,Bar,106,Sunset Sarsaparilla,380.0,1757.726,457.719
47,Bar,106,Ashtray,380.6,1738.744,486.259
48,Bar,106,Shot glass,381.2,1740.080,527.010
49,Bar,106,Sunset Sarsaparilla,381.6,1739.147,547.587
50,Bar,106,Glass Pitcher,381.8,1748.488,566.716
51,Bar,106,Sunset Sarsaparilla,382.0,1739.969,585.595
52,Bar,106,Sunset Sarsaparilla,387.2,1814.490,797.474
53,Bar,106,Ashtray,387.4,1826.877,816.049
54,Bar,106,Sunset Sarsaparilla,388.4,1848.285,834.104
55,Bar,106,Coffee Pot,393.4,2056.577,718.498
56,Bar,106,Carton of Cigarettes,394.8,2044.335,703.223
57,Bar,106,Carton of Cigarettes,395.6,2053.169,696.787
58,Bar,106,Sunset Sarsaparilla,404.0,2055.840,586.798
59,Bar,106,Sunset Sarsaparilla,404.4,2062.792,610.995
60,Bar,106,Glass Pitcher,405.4,2039.599,535.736
61,Bar,106,Glass Pitcher,406.0,2035.267,492.557
62,Bar,106,Glass Pitcher,406.2,2033.145,479.178
63,Bar,106,Glass Pitcher,406.6,2034.352,486.791
64,Bar,106,Glass Pitcher,406.6,2036.495,500.298
65,Bar,106,Glass Pitcher,406.8,2036.495,500.298
66,Bar,106,Glass Pitcher,407.0,2036.495,500.298
67,Bar,106,Glass Pitcher,407.8,2033.458,481.152
68,Bar,106,Glass Pitcher,408.0,2032.036,475.718
69,Bar,106,Glass Pitcher,408.6,2038.659,519.401
70,SheriffOffice,106,Pre-War Book,617.9,1960.736,1405.228
71,Hotel,106,Empty Whiskey Bottle,1049.4,1583.914,1167.626
72,Hotel,106,Carton of Cigarettes,1285.0,1010.798,3133.853
73,Hotel,106,Coffee Mug,1285.8,1006.978,3168.815
74,Hotel,106,Large Burned Book,1286.2,1005.939,3177.406
75,Bar,106,Ashtray,987.6,1258.438,683.832
76,Bar,106,Shot glass,988.0,1267.234,733.994
77,Bar,106,Empty Whiskey Bottle,991.2,1227.399,807.273
78,Hotel,106,Snow Globe - Mt. Charleston,1295.2,2190.467,1778.844
79,Bar,108,Empty Sunset Sarsaparilla Bottle,249.4,1586.934,743.407
80,Bar,108,InstaMash,332.7,2331.120,652.007
81,Bar,108,InstaMash,333.5,2331.120,652.007
82,Bar,108,Toaster,334.5,2331.196,652.365
83,Bar,108,Tin Can,335.2,2331.196,652.365
84,Bar,108,Tin Can,335.7,2331.196,652.365
85,Bar,108,Tin Can,335.7,2331.196,652.365
86,Bar,108,Pressure Cooker,347.5,2329.964,920.365
87,Bar,188,Tin Can,337.9,2310.124,821.667
88,Bar,188,Tin Can,338.7,2310.124,821.667
89,Bar,188,Tin Can,340.1,2310.188,821.639
90,Bar,188,InstaMash,340.5,2310.253,821.615
91,Bar,188,InstaMash,340.9,2310.253,821.615
92,Bar,188,Dandy Boy Apples,341.5,2310.371,821.584
93,Bar,188,Dandy Boy Apples,341.7,2310.587,821.560
94,Bar,188,Toaster,341.9,2310.587,821.560
95,Bar,188,Flour,342.9,2310.587,821.560
96,Bar,188,Flour,343.1,2310.587,821.560
97,Bar,188,Buffalo Gourd Seed,345.1,2310.920,821.411
98,Bar,188,Buffalo Gourd Seed,345.3,2310.920,821.411
99,Bar,188,YumYum Deviled Eggs,347.5,2311.155,821.295
100,Bar,188,Grilled Mantis,349.3,2315.037,836.329
101,Bar,188,Sunset Sarsaparilla,402.1,2062.792,619.702
102,Bar,188,Sunset Sarsaparilla,405.1,1935.266,606.871
103,Bar,188,Glass Pitcher,419.7,2082.502,395.325
104,Outside,109,Pot,954.2,1798.220,302.950
105,Hotel,109,13 Ball,2054.1,2847.199,1921.597
106,Hotel,109,8 Ball,2055.1,2847.199,1921.597
